no,id,type,product,category,price,rental,installation,subscription,tick,missing,has_slash
1,24cd3dfe-9e9a-4837-a136-b325feb401f5,BACKUP,Beame Backup Unit,BACKUP,595,23,250,89,YES,,NO
2,2689e3fb-d591-40d6-84f5-e9ba17825ebf,DASHCAM,"2.5"" TF 256GB",DASHCAM,1877,74,0,0,YES,,NO
3,7b0fdf8f-6391-4736-8a53-06ef52d86a02,DASHCAM,Dashcam Cab Facing,DASHCAM,1482,58,0,0,YES,,NO
4,5db3a39c-35d5-4fbd-865a-06e98209246b,DASHCAM,Dashcam Forward Facing,DASHCAM,6321,248,750,295,YES,,NO
5,dd664f5a-4793-460e-817a-58ff2a5e8b62,DASHCAM,LED Alarm,DASHCAM,2370,93,750,295,YES,,NO
6,701686b7-e764-48e8-a7e7-dfc4f3e9d3c7,DASHCAM,PDC Camera,DASHCAM,2222,87,0,,NO,subscription,NO
7,4d5a3f9e-10c3-416c-bff8-369d7bc6f51c,DVR CAMERA,1TB HD Memory Card,DVR CAMERA,2420,95,0,0,YES,,NO
8,e36f18b2-c8d9-4323-9adc-41bfdf0039d9,DVR CAMERA,"2.5"" SD 256GB",DVR CAMERA,1803,71,0,0,YES,,NO
9,3b1ef2c1-f1ec-4e00-ace6-97ff02295262,DVR CAMERA,"2.5"" SSD 480GB",DVR CAMERA,3358,132,0,0,YES,,NO
10,f18fae87-37dd-4e43-9705-f8661194c752,DVR CAMERA,2TB HD Memory Card,DVR CAMERA,3210,126,0,0,YES,,NO
11,6de10b1f-89d7-45d3-8262-f0940bd75a95,DVR CAMERA,4 Channel DVR,DVR CAMERA,10272,403,1100,295,YES,,NO
12,96e241aa-f62c-4e6a-bd6b-2713b4d8074f,DVR CAMERA,4 Channel DVR - Compact,DVR CAMERA,7161,281,0,0,YES,,NO
13,49d824e6-b45e-4f76-97ca-8cad8e247042,DVR CAMERA,4 Pin Cable 10M,DVR CAMERA,247,10,0,0,YES,,NO
14,ba14eda7-ad85-411d-9b7b-ef488f0a85d1,DVR CAMERA,4 Pin Cable 3M,DVR CAMERA,74,3,0,0,YES,,NO
15,64fbb046-716c-4616-bebf-883d00c84559,DVR CAMERA,4 Pin Cable 5M,DVR CAMERA,148,6,0,0,YES,,NO
16,165af7a3-300c-42fe-9148-bd0af4c4e0bc,DVR CAMERA,8 Channel DVR,DVR CAMERA,10865,426,1100,295,YES,,NO
17,5b4fa678-7b14-4987-bc9e-98f08c4d9879,DVR CAMERA,Driver Facing Camera only,DVR CAMERA,938,37,0,0,YES,,NO
18,f258789b-6a34-4365-b53a-34914efec19f,DVR CAMERA,Dual Lense and Camera,DVR CAMERA,2815,110,0,0,YES,,NO
19,29c825e3-1211-47de-9392-f85cdcd16bd3,DVR CAMERA,Outside IR cameras,DVR CAMERA,938,37,0,0,YES,,NO
20,7326a840-a34e-4826-8c63-efe00756cdf7,DVR CAMERA,Road Facing Camera only,DVR CAMERA,1037,41,0,0,YES,,NO
21,d52e3106-3f3d-4762-8dfa-9da37e87478d,FMS,Skylink Asset (Trailer),FMS,4649,182,550,249,YES,,NO
22,20c5c564-bf65-4377-be3c-8b5c1be165df,FMS,Skylink Motorbike,FMS,2708,106,350,299,YES,,NO
23,deccb2a4-5406-4151-8bb9-fff13f97b7c4,FMS,Skylink OBD,FMS,3184,125,250,299,YES,,NO
24,8a11682e-5958-4b9b-aed5-5aa49ff2e0e4,FMS,Skylink Pro,FMS,4270,168,550,299,YES,,NO
25,ef165063-5640-4279-8054-a7754f8782a5,FMS,Skylink Scout 12V,FMS,3032,119,450,260,YES,,NO
26,4419ad01-0866-47d9-9363-337fc32bc693,FMS,Skylink Scout 24V,FMS,3032,119,450,260,YES,,NO
27,8aabd330-51f2-40b1-aedc-4cbb3275786a,INPUT,Dash Tamper,INPUT,195,8,150,0,YES,,NO
28,2c6f7f90-02c9-42bf-bda9-260821deeef8,INPUT,Industrial,INPUT,345,14,150,0,YES,,NO
29,dca3cc7a-7722-432a-b4cc-76718a4487a9,INPUT,Limp Mode,INPUT,195,8,150,0,YES,,NO
30,f3741375-e24e-41c1-ba59-cc40aab5045a,INPUT,Panic Flush,INPUT,345,14,150,0,YES,,NO
31,f9a71b75-35c1-418f-bec1-be7229a77ba5,INPUT,PTO Switch,INPUT,195,8,150,0,YES,,NO
32,eb74fd62-1046-4215-9592-f738c8e947e2,MODULE,1M Fuel Harness,MODULE,405,16,0,0,YES,,NO
33,c2d0176c-5223-4dcb-888d-7fb500dcb415,MODULE,3M Fuel Harness,MODULE,586,23,0,0,YES,,NO
34,64104377-1ece-497b-ad83-2f7e3f8b1f11,MODULE,7M Fuel Harness,MODULE,643,25,1100,22,YES,,NO
