NEW_ACCOUNT_NUMBER,MATCH_COUNT,CLIENT,ACCOUNT NO.,DOC. NO.,GROUP,NEW REGISTRATION,ASSET BARCODE,PROJECT,CODE,DESCRIPTION,COMMENTS,SUPPLIER,HOLDING COMPANY,QTY,DISCOUNT,COST EX.,PRICE EX.,PRICE INCL.,TOTAL INCL.
"EDGE-0006",21,"EDGE - PINEGOLD LOGISTICS","1074","","KHV030EC","","","TEMP515659","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","AWAITING CLARITY ON THIS REGISTRATION. REGISTRATION UPDATE FROM TEMP515659","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0007",1,"EDGE - MYCITI","2239-MYCITI","","CAA542682","","","CAA542682","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","99.00","99","113.85","113.85"
"MACS-0012",11,"MACSTEEL FLUID CONTROL - CT","626","","LV39DGGP REINSTALL","","","LV39DGGP REINSTALL","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","","","","1","0.00%","0.00","465.07","534.83","534.83"
"MACS-0013",10,"MACSTEEL FLUID CONTROL - DURBAN","627","","MR05XMGP","","","BK38PPZN REINSTALL","MONLTHY SUBSCRIPTION","MONTHLY SERVICE SUBSCRIPTION","REGISTRATION UPDATE FROM BK38PPZN ","","","1","0.00%","99.00","667.74","767.9","767.9"
"MACS-0013",10,"MACSTEEL FLUID CONTROL - DURBAN","627","","CZ13SRZN","","","","ANNUITY","ANNUITY","TRANSFER FROM MACSTEEL FLUID CONTROL - RICHARDSBAY","","","1","0.00%","0.00","386.73","444.74","444.74"
"EDGE-0013",24,"EDGE - BAPOTRANS","665","","KMB286NW","","","","Beame Subs","Beame Monthly Fee","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0013",24,"EDGE - BAPOTRANS","665","","LBM628NW","","","","BEAME SUBS","BEAME SUBS","REGISTRATION UPDATE FROM JTF321MP","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0013",24,"EDGE - BAPOTRANS","665","","LBB342MP","","","","BEAME SUBS","BEAME SUBS","TRANSFER FROM MEGA MIDDELBURG","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","KC00XZGP","KC00XZGP","","KC00XZGP","EDGE BEAME MONTHLY BOM","EDGE BEAME MONTHLY BOM","","","","1","0.00%","0.00","70","80.5","80.5"
"EDGE-0004",57,"EDGE - GAUTENG COACHES","676","","FB63BMGP","","","FB63BMGP","Beame Monthly Bom","Beame Subs","","","","1","0.00%","0.00","70","80.5","80.5"
