"id","job_number","status","job_status","job_type","quotation_job_type","account","reg","completion_date","created_at","invoice_done","state","match_mode"
"8d041ca6-cbf3-42c4-baa0-b67d4abe5de4","SOL-536213","completed","Completed","item_billing","item_billing","HITA-0001","","2026-04-30T10:00:00+00:00","2026-05-11T10:34:58.640978+00:00","true","missing","no-reg"
"492c0ae7-6bac-4a1e-9abd-0576b0d70c87","SOL-704027","completed","Completed","install","install","ALST-0001","JZ88CYGP","2026-05-07T09:54:25.186197+00:00","2026-04-17T07:14:49.846102+00:00","true","missing","no-vehicle-match"
"52ff7f5d-5791-4d48-9990-209700bd2d02","SOL-458691","completed","Completed","deinstall","deinstall","MACS-0029","DSH908L","2026-05-07T12:01:30.189202+00:00","2026-04-16T11:56:42.444217+00:00","true","matched","account+reg"
"830e819b-28c4-426d-abe1-fef25c5b2602","SOL-834611","completed","Completed","install","install","MACS-0003","BT68VJGP","2026-03-14T23:59:59+00:00","2026-03-30T13:05:59.524737+00:00","true","missing","no-vehicle-match"
"30162c5b-0d4a-4d71-ac2e-83cac4d182d8","SOL-587296","completed","Completed","repair","install","","KB45JMGP","2026-03-21T23:59:59+00:00","2026-03-30T09:28:04.877062+00:00","true","missing","no-account+no-reg-match"
"21e9d797-0811-4f2b-b4b8-029e47a71ea8","SOL-365736","completed","Completed","install","install","TACI-0001","LT57WLGP ","2026-05-11T12:35:30.863+00:00","2026-03-30T07:30:48.431284+00:00","true","matched","account+reg"
"9984949f-9933-49b0-8ee2-5521c54ef688","SOL-806007","pending","pending","install","install","MAGO-0001","BK92RJGP","","2026-03-28T08:52:32.829589+00:00","true","matched","account+reg"
"1b2ac40d-c829-4884-8ad5-303f8cd78156","SOL-938092","completed","Completed","repair","install","","JF68WWGP","2026-04-30T12:21:37.061+00:00","2026-03-28T07:18:17.345432+00:00","true","matched","reg-only-no-account"
"f617b4d3-f834-414b-8e74-d406bc6be097","SOL-701980","completed","Completed","install","install","HITA-0001","MS53MCGP","2026-03-15T23:59:59+00:00","2026-03-25T11:08:52.700858+00:00","true","matched","account+reg"
"48ac49de-ee05-471b-88f2-c4d897aae86b","SOL-928170","completed","Completed","install","install","HITA-0001","MS53LYGP","2026-03-15T23:59:59+00:00","2026-03-25T11:00:58.583336+00:00","true","missing","account-only-no-reg-match"
"59e4b3d0-0dab-416f-b041-ab52d885c9da","SOL-439691","completed","Completed","install","install","HITA-0001","MS53LJGP","2026-03-15T23:59:59+00:00","2026-03-25T10:46:44.802755+00:00","true","matched","account+reg"
"c7df63e8-6268-40a0-8922-3907c2225c9a","SOL-504254","completed","Completed","install","install","HITA-0001","MS53JZGP","2026-03-15T23:59:59+00:00","2026-03-25T10:45:35.263376+00:00","true","matched","account+reg"
"318ed34a-98e3-4e0e-927f-a5790b6c8913","SOL-385155","completed","Completed","install","install","HITA-0001","MS53MTGP","2026-03-15T23:59:59+00:00","2026-03-25T10:44:35.265007+00:00","true","matched","account+reg"
"c2aa9683-0de3-4bcf-bff3-7f10a3f247a9","SOL-183317","completed","Completed","install","install","HITA-0001","MS53MKGP","2026-03-15T23:59:59+00:00","2026-03-25T10:41:12.50714+00:00","true","matched","account+reg"
"6be90565-9cbb-43ad-b860-0ad34486481c","SOL-878699","completed","Completed","install","install","HITA-0001","MS53KHGP","2026-03-15T23:59:59+00:00","2026-03-25T10:38:17.794314+00:00","true","matched","account+reg"
"719e0a53-1e14-4cc8-8c79-275f59981f32","SOL-424827","completed","Completed","install","install","ANGE-0001","LK19JHGP","2026-03-15T23:59:59+00:00","2026-03-23T13:26:59.184652+00:00","true","missing","no-vehicle-match"
"57ac4e17-11aa-48f0-b7f7-8e5c7548cf30","SOL-732202","completed","Completed","install","install","ALST-0001","N/A","2026-04-30T12:24:42.684+00:00","2026-03-23T10:59:44.102297+00:00","true","missing","no-vehicle-match"
"39d09228-cec1-4407-924e-1d383fe6d916","SOL-926199","completed","Completed","admin_created","install","","ZVN779GP","2026-03-12T09:05:05.64866+00:00","2026-03-09T05:28:08.861181+00:00","true","missing","no-account+no-reg-match"
"b91d6b30-516a-4668-afcc-abdc4c9a9b3a","SOL-102024","completed","Completed","install","install","EDGE-0017","CA270479","2026-05-12T09:19:36.234632+00:00","2026-03-03T13:36:50.854254+00:00","true","matched","account+reg"
"226d3028-ac0b-49b1-af1a-0c58b37d334d","SOL-760653","completed","Completed","install","install","MACS-0022","TOYOTA","2026-03-15T23:59:59+00:00","2026-02-25T06:55:48.492225+00:00","true","missing","account-only-no-reg-match"
"616b186d-7208-4eea-bac1-3f6748ea104a","SOL-776312","completed","Completed","install","install","EDGE-0005","TEMPJT68705","2026-03-19T09:18:32.198+00:00","2026-02-23T07:46:55.047068+00:00","true","matched","account+reg"
"00638217-e9e1-449f-a8af-fdb861f551fa","SOL-623042","pending","pending","install","install","EDGE-0005","LCW704NW","","2026-02-23T07:46:49.777507+00:00","true","missing","account-only-no-reg-match"
"6fff3162-b12f-4659-b158-7c000a424a00","SOL-457225","completed","Completed","install","install","EDGE-0001","","2026-03-15T23:59:59+00:00","2025-10-16T09:31:50.81114+00:00","true","missing","no-reg"
"8364080b-3a38-4ec0-ab5c-db5f5d855353","JOB-1754983990908-jv74w752n","completed","Completed","install","install","","AB56CDGP","2026-04-12T22:11:39.664239+00:00","2025-08-12T07:33:12.749736+00:00","true","missing","no-account+no-reg-match"
"efffae80-c18b-48bf-8043-b5b3a9ea5beb","JOB-1754983842269-ls95urb0r","completed","Completed","install","install","","gdjd","2026-04-21T07:49:27.647322+00:00","2025-08-12T07:30:44.138514+00:00","true","missing","no-account+no-reg-match"
