job_number,account,reg,item_name,quantity,rental_total,subscription_total,recurring_total
SOL-738912,MNFU-0001,ML51ZVGP,MTX-MC904 EU / MDVR MINI - 4CH - NON AI,1,543,295,838
SOL-738912,MNFU-0001,ML51ZVGP,MTX-MC820E / ROAD FACING ADAS CAM,1,55,0,55
SOL-738912,MNFU-0001,ML51ZVGP,MTX-MC833 / DRIVER FACING CAM NO AI,2,99,0,99
SOL-738912,MNFU-0001,ML51ZVGP,MTX - CABLE - 5M,2,16,0,16
SOL-738912,MNFU-0001,ML51ZVGP,MTX-CABLE 10M / 10 METER EXT CABLE,2,26,0,26
SOL-738912,MNFU-0001,ML51ZVGP,SIM CARD (CAMERA) CORPCONNECT,1,128,0,128
SOL-738912,MNFU-0001,ML51ZVGP,Sky-Can,1,53,0,53
SOL-738912,MNFU-0001,ML51ZVGP,Beame Backup Unit,1,31,89,120
SOL-738912,MNFU-0001,ML51ZVGP,Fuel Probe Dual Tank,1,658,22,680
SOL-738912,MNFU-0001,ML51ZVGP,Skylink PRO 2G 3G 4G,1,226,299,525
SOL-738912,MNFU-0001,ML51ZVGP,Roaming,1,0,195,195
SOL-250018,EDGE-0008,TEMP007102,Beame Backup Unit,1,0,70,70
SOL-825729,DCCT-0001,NEW DASHCAM INSTALL - MD36TGGP,MTX-MC401,1,0,295,295
SOL-655523,DCCT-0001,NEW DASH INSTAALL - LW02LZGP,MTX-MC401,1,0,295,295
SOL-861668,TACI-0001,B557BXN,Skylink PRO 2G 3G 4G,1,0,322.92,322.92
SOL-861668,TACI-0001,B557BXN,Beame Backup Unit,1,0,96.12,96.12
SOL-861668,TACI-0001,B557BXN,Roaming,1,0,195,195
SOL-389706,ALST-0001,CH835580,Skylink PRO 2G 3G 4G,1,0,299,299
SOL-389706,ALST-0001,CH835580,Fuel Probe Single Tank,1,0,22,22
SOL-389706,ALST-0001,CH835580,Beame Backup Unit,1,0,89,89
SOL-389706,ALST-0001,CH835580,Management and Consultant,1,0,75,75
SOL-389706,ALST-0001,CH835580,After Hours Maintenance,1,0,55,55
SOL-625531,ALST-0001,CH835877,Skylink PRO 2G 3G 4G,1,0,299,299
SOL-625531,ALST-0001,CH835877,Fuel Probe Single Tank,1,0,22,22
SOL-625531,ALST-0001,CH835877,Beame Backup Unit,1,0,89,89
SOL-625531,ALST-0001,CH835877,Management and Consultant,1,0,75,75
SOL-625531,ALST-0001,CH835877,After Hours Maintenance,1,0,55,55
SOL-171883,ALST-0001,CH835579,Skylink PRO 2G 3G 4G,1,0,299,299
SOL-171883,ALST-0001,CH835579,Fuel Probe Single Tank,1,0,22,22
SOL-171883,ALST-0001,CH835579,Beame Backup Unit,1,0,89,89
SOL-171883,ALST-0001,CH835579,Management and Consultant,1,0,75,75
SOL-171883,ALST-0001,CH835579,After Hours Maintenance,1,0,55,55
SOL-111660,AUMA-0001,MW25XKGP,Skylink PRO 2G 3G 4G,1,0,740.37,740.37
SOL-567489,PRCR-0001,CHDB8904,MTX-MC202 EU - 4G Dashcam MC202,1,216,295,511
SOL-495571,TACI-0001,B413BOT,Skylink PRO 2G 3G 4G,1,0,299,299
SOL-495571,TACI-0001,B413BOT,Beame Backup Unit,1,0,89,89
SOL-495571,TACI-0001,B413BOT,Roaming,1,0,195,195
SOL-597188,EDGE-0047,TEMPKA0006,Beame Backup Unit,1,0,70,70
SOL-998233,SEVE-0001,F44 - MX65HCGP,MIX-4000,1,324,540,864
SOL-998233,SEVE-0001,F44 - MX65HCGP,Beame Backup Unit,1,17.92,89,106.92
SOL-850597,EDGE-0008,TEMP047058,Beame Backup Unit,1,0,70,70
SOL-525299,EDGE-0004,LB83XNGP,Beame Backup Unit,1,0,70,70
SOL-645483,TACI-0001,MX85VFGP,Skylink Asset (Trailer),1,0,299,299
SOL-645483,TACI-0001,MX85VFGP,Roaming,1,0,195,195
SOL-820952,THES-0002,KFW283MP,Skylink PRO 2G 3G 4G,1,270,299,569
SOL-797426,THES-0002,KCY462MP ,Skylink PRO 2G 3G 4G,1,270,299,569
SOL-882375,THES-0002,LMR027MP,Skylink PRO 2G 3G 4G,1,270,299,569
SOL-409838,THES-0002,DN20DHGP,Skylink Pro,1,0,569,569
SOL-932955,THES-0002,JH57ZDGP ,Skylink Pro,1,270,299,569
SOL-156995,THES-0002,KY79LGGP ,Skylink Pro,1,270,299,569
SOL-302337,THES-0002,LS97SFGP,Skylink Pro,1,270,299,569
SOL-164333,,YMM494GP,BREATHALOK,1,432,0,432
SOL-289786,EDGE-0004,TEMP795693,Beame Backup Unit,1,23,89,112
SOL-611855,EDGE-0004,TEMP019013,Beame Backup Unit,1,23,89,112
SOL-149026,EDGE-0004,MD30BBGP,Beame Backup Unit,1,23,89,112
JOB-1754928396962-95tzjqikr,,AB56CDGP,"2.5"" SSD 480GB",1,132,0,132
SOL-732202,ALST-0001,N/A,Routing,1,0,35000,35000
SOL-760653,MACS-0022,TOYOTA,MTX – MTX-MC202X,1,137,295,432
SOL-623042,EDGE-0005,LCW704NW,Beame Backup Unit,1,0,70,70
JOB-1754983990908-jv74w752n,,AB56CDGP,Skylink Pro,1,168,349,517
JOB-1754983842269-ls95urb0r,,gdjd,1M Fuel Harness,1,16,0,16
JOB-1754983842269-ls95urb0r,,gdjd,3M Fuel Harness,1,23,0,23
