job_number,account,reg,recurring_line_count,rental_total,subscription_total,recurring_total
SOL-732202,ALST-0001,N/A,1,0,35000,35000
SOL-738912,MNFU-0001,ML51ZVGP,11,1835,900,2735
SOL-998233,SEVE-0001,F44 - MX65HCGP,2,341.92,629,970.92
SOL-111660,AUMA-0001,MW25XKGP,1,0,740.37,740.37
SOL-861668,TACI-0001,B557BXN,3,0,614.04,614.04
SOL-495571,TACI-0001,B413BOT,3,0,583,583
SOL-156995,THES-0002,KY79LGGP ,1,270,299,569
SOL-302337,THES-0002,LS97SFGP,1,270,299,569
SOL-409838,THES-0002,DN20DHGP,1,0,569,569
SOL-797426,THES-0002,KCY462MP ,1,270,299,569
SOL-820952,THES-0002,KFW283MP,1,270,299,569
SOL-882375,THES-0002,LMR027MP,1,270,299,569
SOL-932955,THES-0002,JH57ZDGP ,1,270,299,569
SOL-171883,ALST-0001,CH835579,5,0,540,540
SOL-389706,ALST-0001,CH835580,5,0,540,540
SOL-625531,ALST-0001,CH835877,5,0,540,540
JOB-1754983990908-jv74w752n,,AB56CDGP,1,168,349,517
SOL-567489,PRCR-0001,CHDB8904,1,216,295,511
SOL-645483,TACI-0001,MX85VFGP,2,0,494,494
SOL-164333,,YMM494GP,1,432,0,432
SOL-760653,MACS-0022,TOYOTA,1,137,295,432
SOL-655523,DCCT-0001,NEW DASH INSTAALL - LW02LZGP,1,0,295,295
SOL-825729,DCCT-0001,NEW DASHCAM INSTALL - MD36TGGP,1,0,295,295
JOB-1754928396962-95tzjqikr,,AB56CDGP,1,132,0,132
SOL-149026,EDGE-0004,MD30BBGP,1,23,89,112
SOL-289786,EDGE-0004,TEMP795693,1,23,89,112
SOL-611855,EDGE-0004,TEMP019013,1,23,89,112
SOL-250018,EDGE-0008,TEMP007102,1,0,70,70
SOL-525299,EDGE-0004,LB83XNGP,1,0,70,70
SOL-597188,EDGE-0047,TEMPKA0006,1,0,70,70
SOL-623042,EDGE-0005,LCW704NW,1,0,70,70
SOL-850597,EDGE-0008,TEMP047058,1,0,70,70
JOB-1754983842269-ls95urb0r,,gdjd,2,39,0,39
JOB-1769083474648-05xn1jxgf,,FW16TWGP - CHS017,0,0,0,0
SOL-101383,EDGE-0019,CK30393,0,0,0,0
SOL-111319,EDGE-0019,CK31983,0,0,0,0
SOL-114900,PRCR-0001,KVR582MP - CB03,0,0,0,0
SOL-120044,TLOG-0001,LCM197MP - RH32,0,0,0,0
SOL-128558,DCCT-0001,DATA -UPLOAD - B876BBA,0,0,0,0
SOL-131541,,CB58 - CASH,0,0,0,0
SOL-137849,EPSC-0002,DATA UPLOAD - MW90NSGP,0,0,0,0
SOL-149110,,CHX007 - KT67DJGP,0,0,0,0
SOL-152976,PRCR-0001,KVR581MP - CB02,0,0,0,0
SOL-156583,MAYS-0001,MAY009,0,0,0,0
SOL-156772,ALST-0001,KB27GLGP,0,0,0,0
SOL-163703,MACS-0025,BG90DHZN,0,0,0,0
SOL-170108,,CB41 - CASH,0,0,0,0
SOL-171851,AVIS-0001,LC37LYGP,0,0,0,0
SOL-189423,,LH35,0,0,0,0
