job_number,account,reg,status,job_status,completion_date,match_mode
SOL-530578,EPSC-0002,DATA UPLOAD - JF74YXGP,completed,Invoiced,2026-04-22T10:07:36.770857+00:00,no-vehicle-match
SOL-575752,EPSC-0002,data upload - JF74YXGP,completed,Invoiced,2026-04-23T13:24:39.96011+00:00,no-vehicle-match
SOL-527276,ALST-0001,JY60PZGP,completed,Invoiced,2026-04-20T08:23:49.658124+00:00,no-vehicle-match
SOL-655602,MAYS-0001,data upload - MAY003,completed,Invoiced,2026-04-29T10:00:52.949+00:00,no-vehicle-match
SOL-563195,HITA-0001,National Transport Logistics	1000-0302,completed,Invoiced,2026-03-15T23:59:59+00:00,no-vehicle-match
SOL-850597,EDGE-0008,TEMP047058,completed,Invoiced,2026-05-06T06:42:11.346161+00:00,no-vehicle-match
SOL-820952,THES-0002,KFW283MP,completed,Invoiced,2026-05-07T12:29:28.217+00:00,no-vehicle-match
SOL-149026,EDGE-0004,MD30BBGP,completed,Invoiced,2026-05-06T08:38:45.563428+00:00,no-vehicle-match
SOL-289786,EDGE-0004,TEMP795693,completed,Invoiced,2026-05-06T08:43:47.966943+00:00,no-vehicle-match
SOL-642708,EPSC-0001,DATA UPLOAD - MK88RHGP,completed,Invoiced,2026-03-31T23:59:59+00:00,no-vehicle-match
SOL-583341,EPSC-0001,DATA UPLOAD - JF74XGGP,completed,Invoiced,2026-05-08T09:18:39.121552+00:00,no-vehicle-match
SOL-651530,EPSC-0002,DATA UPLOAD - JF74YXGP,completed,Invoiced,2026-05-11T11:48:16.663+00:00,no-vehicle-match
SOL-311761,TTEX-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T06:51:32.38611+00:00,no-vehicle-match
SOL-489044,ANGE-0001,YMM294GP,completed,Invoiced,2026-04-21T09:52:27.644417+00:00,no-vehicle-match
SOL-998233,SEVE-0001,F44 - MX65HCGP,completed,Invoiced,2026-04-17T05:01:47.991892+00:00,no-vehicle-match
SOL-567489,PRCR-0001,CHDB8904,completed,Invoiced,2026-05-06T06:32:20.5452+00:00,no-vehicle-match
SOL-386165,TTEX-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T09:19:40.300899+00:00,no-vehicle-match
SOL-776721,TTLI-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T09:19:57.239457+00:00,no-vehicle-match
SOL-738912,MNFU-0001,ML51ZVGP,completed,Invoiced,2026-05-11T13:11:07.889+00:00,no-vehicle-match
SOL-584374,TTEX-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T08:17:06.671409+00:00,no-vehicle-match
SOL-891458,EPSC-0001,HW67VCGP DATA UPLOAD,completed,Invoiced,2026-03-31T10:21:52.511001+00:00,no-vehicle-match
SOL-280898,EPSC-0001,DATA UPLOAD - HW67VCGP,completed,Invoiced,2026-04-14T10:23:15.993674+00:00,no-vehicle-match
SOL-797876,TTLI-0001,LDG422MP - LH33,completed,Invoiced,2026-05-06T09:20:42.384546+00:00,no-vehicle-match
