id,job_number,account,reg,status,job_status,completion_date,rental_total,subscription_total,has_rental,has_subscription,bucket
396080e1-affe-4781-b0e0-c8f051727cca,SOL-427833,TEST-0001,TEMP-0001,completed,Completed,2026-05-06T03:32:15.048496+00:00,0,0,false,false,none
dd0d4943-3810-46b8-8993-4b1435ba4a26,SOL-530578,EPSC-0002,DATA UPLOAD - JF74YXGP,completed,Invoiced,2026-04-22T10:07:36.770857+00:00,0,0,false,false,none
57ac4e17-11aa-48f0-b7f7-8e5c7548cf30,SOL-732202,ALST-0001,N/A,completed,Completed,2026-04-30T12:24:42.684+00:00,0,35000,false,true,subscription_only
b218f3cf-38c3-4aa2-a11c-9ba7b7d998ec,SOL-575752,EPSC-0002,data upload - JF74YXGP,completed,Invoiced,2026-04-23T13:24:39.96011+00:00,0,0,false,false,none
ec075cd1-f320-4463-b4b3-919c7fb7379c,SOL-158270,TLOG-0001,KSD191MP - EX33,completed,Completed,2026-04-19T16:51:40.471221+00:00,235,684,true,true,both
9c94ddcd-6015-45e8-af04-0efbec7f565f,SOL-527276,ALST-0001,JY60PZGP,completed,Invoiced,2026-04-20T08:23:49.658124+00:00,0,0,false,false,none
d4597479-9394-429f-90c4-4b2c8fe4f2f5,SOL-655602,MAYS-0001,data upload - MAY003,completed,Invoiced,2026-04-29T10:00:52.949+00:00,0,0,false,false,none
2a538598-a2fa-4b11-83e5-6d8019ad31ae,SOL-563195,HITA-0001,National Transport Logistics	1000-0302,completed,Invoiced,2026-03-15T23:59:59+00:00,0,0,false,false,none
23c99938-5063-4f0b-8340-7c1b3909a0cc,SOL-850597,EDGE-0008,TEMP047058,completed,Invoiced,2026-05-06T06:42:11.346161+00:00,0,70,false,true,subscription_only
e8514db6-794d-43b5-b38a-2bd5ec36283f,SOL-213812,TTEX-0001,PANIC INSTALLS ,completed,Completed,2026-05-07T05:18:25.08703+00:00,0,0,false,false,none
7ef43269-dbfc-40b6-a15f-344cb7511a28,SOL-820952,THES-0002,KFW283MP,completed,Invoiced,2026-05-07T12:29:28.217+00:00,270,299,true,true,both
50165a66-51b5-4108-bb8e-66af06da4fad,SOL-149026,EDGE-0004,MD30BBGP,completed,Invoiced,2026-05-06T08:38:45.563428+00:00,23,70,true,true,both
1e02a079-786a-4d64-81e9-5316a646f288,SOL-844034,EPSC-0001,HY74XFGP  - 0713052928,completed,Completed,2026-04-17T09:20:07.35+00:00,0,0,false,false,none
e98cff95-beed-4817-987e-a3c9e51f53cf,SOL-289786,EDGE-0004,TEMP795693,completed,Invoiced,2026-05-06T08:43:47.966943+00:00,23,70,true,true,both
2c7ae182-3d13-41cc-b891-531a81fc9dfe,SOL-642708,EPSC-0001,DATA UPLOAD - MK88RHGP,completed,Invoiced,2026-03-31T23:59:59+00:00,0,0,false,false,none
8a83c2db-946c-401d-a907-f3f006bf9257,SOL-583341,EPSC-0001,DATA UPLOAD - JF74XGGP,completed,Invoiced,2026-05-08T09:18:39.121552+00:00,0,0,false,false,none
c91a3355-add0-41b3-aed6-c5b46b61e5c5,SOL-879463,,CH153520,completed,Completed,2026-05-07T05:16:31.66266+00:00,0,698.42,false,true,subscription_only
f81a7b00-d24f-4ef6-abec-b5b46588c1b8,SOL-651530,EPSC-0002,DATA UPLOAD - JF74YXGP,completed,Invoiced,2026-05-11T11:48:16.663+00:00,0,0,false,false,none
21b9947a-ba1d-4721-a6cd-ff85683e5f09,SOL-949960,ACTE-0001,JJK 614MP,completed,Completed,2026-03-19T10:44:50.767978+00:00,0,60,false,true,subscription_only
608e2f0b-734c-474c-a4f9-0a98bb173472,SOL-576177,ARGO-0001,CH998657,completed,Completed,2026-05-12T14:27:10.900686+00:00,0,369,false,true,subscription_only
1cda7ed7-ff21-4d23-8684-b90f31842358,SOL-311761,TTEX-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T06:51:32.38611+00:00,0,0,false,false,none
489bf4b0-0942-4a90-8c8d-f4f1ca6058ae,SOL-364436,ARGO-0001,CH999115,completed,Completed,2026-05-12T14:27:34.859912+00:00,0,369,false,true,subscription_only
0ba3164a-a39f-4cee-b0c5-68bb12b26866,SOL-813804,SEVE-0001,F44 - MX65HCGP,completed,Completed,2026-04-17T04:58:01.100344+00:00,17.92,629,true,true,both
cad2ee4a-f75c-4c94-8c13-bf86de603c47,SOL-489044,ANGE-0001,YMM294GP,completed,Invoiced,2026-04-21T09:52:27.644417+00:00,0,0,false,false,none
6dfc4ca6-6034-46b5-99f7-a710f4a2ff6f,SOL-998233,SEVE-0001,F44 - MX65HCGP,completed,Invoiced,2026-04-17T05:01:47.991892+00:00,341.92,629,true,true,both
bd8d9857-5a73-4bad-a6fd-9d08bba62117,SOL-567489,PRCR-0001,CHDB8904,completed,Invoiced,2026-05-06T06:32:20.5452+00:00,216,295,true,true,both
99e3c53d-463f-439b-9197-cc85a6c3628a,SOL-386165,TTEX-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T09:19:40.300899+00:00,0,0,false,false,none
2eb6ab1f-0a69-404a-aaff-b2f115f38d91,SOL-776721,TTLI-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T09:19:57.239457+00:00,0,0,false,false,none
880301b4-870c-439f-bf82-c69527682eb5,SOL-738912,MNFU-0001,ML51ZVGP,completed,Invoiced,2026-05-11T13:11:07.889+00:00,1976,900,true,true,both
f65473bc-f34f-42e5-9994-a12687244f74,SOL-584374,TTEX-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T08:17:06.671409+00:00,0,0,false,false,none
ba4e3c68-6180-41e5-bd60-319f2b0de16d,SOL-891458,EPSC-0001,HW67VCGP DATA UPLOAD,completed,Invoiced,2026-03-31T10:21:52.511001+00:00,0,0,false,false,none
ea3fd3f3-0440-49c8-a505-732b6bbaa5dd,SOL-280898,EPSC-0001,DATA UPLOAD - HW67VCGP,completed,Invoiced,2026-04-14T10:23:15.993674+00:00,0,0,false,false,none
1a7f6e93-b29a-44e3-9367-09fbd212a434,SOL-871288,ACTE-0001,HCR 054MP,completed,Completed,2026-03-19T08:08:31.83857+00:00,0,60,false,true,subscription_only
00e210f3-be13-449f-9ccc-c43150b6329d,SOL-797876,TTLI-0001,LDG422MP - LH33,completed,Invoiced,2026-05-06T09:20:42.384546+00:00,0,0,false,false,none
549760c3-77d0-4b06-8888-d93f1f2a5cfc,SOL-202925,ALST-0001,JZ78PGGP,completed,Invoiced,2026-04-20T05:39:33.201937+00:00,0,0,false,false,none
32b0d740-36f6-40db-b143-b63764908c1a,SOL-694841,TLOG-0001,LDG351MP - FM13,completed,Invoiced,2026-05-06T09:21:58.982168+00:00,0,0,false,false,none
71bc8f28-d485-4411-a16b-845eb41d65a7,SOL-300309,TTLI-0001,JJT993FS - PLS241,completed,Invoiced,2026-05-06T09:21:00.109477+00:00,0,0,false,false,none
38e85793-6be4-4028-88cd-7628aac78f79,SOL-527893,TTLI-0001,JGK731FS - LH41,completed,Invoiced,2026-05-06T09:21:19.081258+00:00,0,0,false,false,none
64efe6b9-2ba8-4d56-bc02-98562236f3d3,SOL-333168,TLOG-0001,JGV565FS - PD117,completed,Invoiced,2026-05-06T09:21:42.459656+00:00,0,0,false,false,none
06026a28-d544-4ffe-a40d-872f8d6d1131,SOL-250018,EDGE-0008,TEMP007102,completed,Invoiced,2026-05-08T06:23:23.554352+00:00,0,70,false,true,subscription_only
797e0a2a-e402-403f-b22a-9f44c8c77785,SOL-365876,TLOG-0001,JFP880FS - RH35,completed,Invoiced,2026-05-06T09:23:33.450906+00:00,0,0,false,false,none
895416e2-ed66-4852-8b29-31a461439935,SOL-781197,EPSC-0001,DATA UPLOAD - KY69YNGP,completed,Invoiced,2026-03-31T23:59:59+00:00,0,0,false,false,none
d7e5d01c-03df-4a33-83c5-84161be6e646,SOL-759415,EPSC-0002,DATA UPLOAD - MK88RHGP,completed,Invoiced,2026-04-20T11:44:34.808407+00:00,0,0,false,false,none
d174db55-a9cb-456a-ab45-b0b58a6a0a6d,SOL-580616,ACTE-0001,LCX 062MP,completed,Completed,2026-03-19T08:27:37.490766+00:00,0,60,false,true,subscription_only
658da23b-f906-4bc1-a3d2-6b92c6159f6f,SOL-559160,HITA-0001,MS80SKGP,completed,Invoiced,2026-03-15T23:59:59+00:00,0,0,false,false,none
068fa517-814a-4a4f-816d-ef2dbaaf821e,SOL-164333,,YMM494GP,completed,Invoiced,2026-03-16T23:59:59+00:00,432,0,true,false,rental_only
02051643-d592-49a9-b339-8076e3a7056e,SOL-156583,MAYS-0001,MAY009,completed,Invoiced,2026-03-31T23:59:59+00:00,0,0,false,false,none
