job_number,new_account_number,vehicle_registration,item_id,item_name,item_description,item_code,code,type,category,qty,quantity,rental_price,subscription_price,rental_gross,subscription_gross,invoice_number,customer_name
SOL-850597,EDGE-0008,TEMP047058,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,70,0,70,,
SOL-998233,SEVE-0001,F44 - MX65HCGP,e8a9aac7-98fd-4a9f-b01e-d5a3670df4b3,MIX-4000,MIX-4000,,,MODULE,MIX,1,1,324,540,324,540,,
SOL-998233,SEVE-0001,F44 - MX65HCGP,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,17.92,89,17.92,89,,
SOL-567489,PRCR-0001,CHDB8904,3017be68-7cde-49a2-a54b-a9967b530e47,MTX-MC202 EU - 4G Dashcam MC202,4G Dashcam MC202,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,216,295,216,295,,
SOL-738912,MNFU-0001,ML51ZVGP,1780a1d4-b489-4258-a199-b6668b24cd0e,MTX-MC904 EU / MDVR MINI - 4CH - NON AI,MDVR MINI 4 Channel Non-AI,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,543,295,543,295,,
SOL-738912,MNFU-0001,ML51ZVGP,0be72037-8983-4339-9325-e8ebf39e5b9f,MTX-MC820E / ROAD FACING ADAS CAM,Road Facing ADAS Camera,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,55,0,55,0,,
SOL-738912,MNFU-0001,ML51ZVGP,8565b9a1-0108-48fe-a6a0-7190a6bfbc6a,MTX-MC833 / DRIVER FACING CAM NO AI,Driver Facing Camera No AI,,,MTX CAMERA,CAMERA EQUIPMENT,2,2,99,0,99,0,,
SOL-738912,MNFU-0001,ML51ZVGP,16cd170c-a774-4582-929f-4280cebefb6f,MTX - CABLE - 5M,5 Meter Cable,,,MTX CAMERA,CAMERA EQUIPMENT,2,2,16,0,16,0,,
SOL-738912,MNFU-0001,ML51ZVGP,f6ea50b5-6b60-4a2d-8a6b-15a2be9d4602,MTX-CABLE 10M / 10 METER EXT CABLE,10 Meter Extension Cable,,,MTX CAMERA,CAMERA EQUIPMENT,2,2,26,0,26,0,,
SOL-738912,MNFU-0001,ML51ZVGP,40f07ec2-cc03-4591-98ce-a1dce834b1f6,SIM CARD (CAMERA) CORPCONNECT,SUPPLIER: VODACOM | CODE: SIM 1GB PM,,,MODULE,SIM,1,1,128,0,128,0,,
