"reg","accounts","missing_jobs_count","job_numbers","rental_total","subscription_total","recurring_total"
"N/A","ALST-0001","1","SOL-732202","0","35000","35000"
"ML51ZVGP","MNFU-0001","1","SOL-738912","1835","900","2735"
"F44 - MX65HCGP","SEVE-0001","1","SOL-998233","324","629","953"
"AB56CDGP","","2","JOB-1754928396962-95tzjqikr; JOB-1754983990908-jv74w752n","300","349","649"
"B413BOT","TACI-0001","1","SOL-495571","0","583","583"
"DN20DHGP","THES-0002","1","SOL-409838","0","569","569"
"JH57ZDGP","THES-0002","1","SOL-932955","270","299","569"
"KCY462MP","THES-0002","1","SOL-797426","270","299","569"
"KFW283MP","THES-0002","1","SOL-820952","270","299","569"
"KY79LGGP","THES-0002","1","SOL-156995","270","299","569"
"LMR027MP","THES-0002","1","SOL-882375","270","299","569"
"LS97SFGP","THES-0002","1","SOL-302337","270","299","569"
"CH835579","ALST-0001","1","SOL-171883","0","540","540"
"CH835580","ALST-0001","1","SOL-389706","0","540","540"
"CH835877","ALST-0001","1","SOL-625531","0","540","540"
"CHDB8904","PRCR-0001","1","SOL-567489","216","295","511"
"MX85VFGP","TACI-0001","1","SOL-645483","0","494","494"
"TOYOTA","MACS-0022","1","SOL-760653","137","295","432"
"YMM494GP","","1","SOL-164333","432","0","432"
"NEW DASH INSTAALL - LW02LZGP","DCCT-0001","1","SOL-655523","0","295","295"
"NEW DASHCAM INSTALL - MD36TGGP","DCCT-0001","1","SOL-825729","0","295","295"
"B557BXN","TACI-0001","1","SOL-861668","0","195","195"
"MD30BBGP","EDGE-0004","1","SOL-149026","23","89","112"
"TEMP019013","EDGE-0004","1","SOL-611855","23","89","112"
"TEMP795693","EDGE-0004","1","SOL-289786","23","89","112"
"LB83XNGP","EDGE-0004","1","SOL-525299","0","70","70"
"LCW704NW","EDGE-0005","1","SOL-623042","0","70","70"
"TEMP007102","EDGE-0008","1","SOL-250018","0","70","70"
"TEMP047058","EDGE-0008","1","SOL-850597","0","70","70"
"TEMPKA0006","EDGE-0047","1","SOL-597188","0","70","70"
"GDJD","","1","JOB-1754983842269-ls95urb0r","39","0","39"
"BF61FSGP","MACS-0026","2","SOL-771005; SOL-911463","0","0","0"
"BG90DHZN","MACS-0025","2","SOL-163703; SOL-192903","0","0","0"
"BH47JSGP","","1","SOL-358749","0","0","0"
"BT68VJGP","MACS-0003","2","SOL-212942; SOL-834611","0","0","0"
"BW52GHGP","","1","SOL-208304","0","0","0"
"BX41BHGP","MACS-0026","2","SOL-737553; SOL-986357","0","0","0"
"CAA383307","PRCR-0001","1","SOL-922077","0","0","0"
"CB41 - CASH","","1","SOL-170108","0","0","0"
"CB43 - CASH","","1","SOL-200647","0","0","0"
"CB47 - CASH","","1","SOL-650972","0","0","0"
"CB51 - RENTAL","","1","SOL-781974","0","0","0"
"CB56 - RENTAL","","1","SOL-225777","0","0","0"
"CB58 - CASH","","1","SOL-131541","0","0","0"
"CB62 - RENTAL","","1","SOL-437212","0","0","0"
"CHC042","","1","SOL-824319","0","0","0"
"CHC048 - LJ64KPGP","","1","SOL-724271","0","0","0"
"CHS024 - JJ01DNGP","","1","SOL-832186","0","0","0"
"CHS037 - KS15VNGP","","1","SOL-389237","0","0","0"
"CHS044 - KS15SZGP","","1","SOL-981033","0","0","0"
"CHS051 - MC80TZGP","","1","SOL-218824","0","0","0"
"CHX007 - KT67DJGP","","1","SOL-149110","0","0","0"
"CHX011 - LJ64LZGP","","1","SOL-201389","0","0","0"
"CHX043 - KT69JSGP","","3","SOL-426702; SOL-446445; SOL-918902","0","0","0"
"CHX057 - HX44NNGP","","1","SOL-572556","0","0","0"
"CHX088 - MC37JMGP","","1","SOL-818354","0","0","0"
"CK30393","EDGE-0019","7","SOL-101383; SOL-256797; SOL-264676; SOL-768816; SOL-905690; SOL-908623; SOL-985789","0","0","0"
"CK31983","EDGE-0019","1","SOL-111319","0","0","0"
"CK34389","EDGE-0019","3","SOL-408584; SOL-822348; SOL-855098","0","0","0"
"CK39697","EDGE-0019","1","SOL-202262","0","0","0"
"CK46883","EDGE-0019","1","SOL-392090","0","0","0"
"CK47049","EDGE-0019","5","SOL-248390; SOL-274554; SOL-340385; SOL-431577; SOL-526549","0","0","0"
"CK55039","EDGE-0019","1","SOL-499193","0","0","0"
"CM01BTZN","EDGE-0019","1","SOL-787902","0","0","0"
"CY128560 - T310","MACS-0024","1","SOL-398788","0","0","0"
"CY313187 - T313","MACS-0024","1","SOL-390568","0","0","0"
"CY433480","MACS-0037","1","SOL-325091","0","0","0"
"CY76597 - T292","","1","SOL-955597","0","0","0"
"DATA UPLOAD  - JF74XHGP","EPSC-0002","1","SOL-506862","0","0","0"
"DATA -UPLOAD - B876BBA","DCCT-0001","1","SOL-128558","0","0","0"
"DATA UPLOAD - HW67VCGP","EPSC-0001","2","SOL-280898; SOL-304758","0","0","0"
"DATA UPLOAD - HY74XFGP","EPSC-0002","1","SOL-830555","0","0","0"
"DATA UPLOAD - JF68FMGP","EPSC-0001","1","SOL-925203","0","0","0"
"DATA UPLOAD - JF74XGGP","EPSC-0001","1","SOL-583341","0","0","0"
"DATA UPLOAD - JF74XHGP","EPSC-0001","1","SOL-635581","0","0","0"
"DATA UPLOAD - JF74YJGP","EPSC-0002","1","SOL-684822","0","0","0"
"DATA UPLOAD - JF74YXGP","EPSC-0002","3","SOL-530578; SOL-575752; SOL-651530","0","0","0"
"DATA UPLOAD - KY69YNGP","EPSC-0001","2","SOL-583972; SOL-781197","0","0","0"
"DATA UPLOAD - MAY002","MAYS-0001","1","SOL-995120","0","0","0"
"DATA UPLOAD - MAY003","MAYS-0001","1","SOL-655602","0","0","0"
"DATA UPLOAD - MAY509","MAYS-0001","1","SOL-244000","0","0","0"
"DATA UPLOAD - MK88RHGP","EPSC-0001; EPSC-0002","2","SOL-642708; SOL-759415","0","0","0"
"DATA UPLOAD - MW90NSGP","EPSC-0002","1","SOL-137849","0","0","0"
"DD53DXGP","","1","SOL-952136","0","0","0"
"DRIVER TAG 7988","MACS-0029","1","SOL-311550","0","0","0"
"FN85FKGP","ANGE-0001","2","SOL-373947; SOL-709720","0","0","0"
"FV95JVGP AS35","","1","SOL-879118","0","0","0"
"FW16TWGP - CHS017","","1","JOB-1769083474648-05xn1jxgf","0","0","0"
"HCM001 - HX44NHGP","","1","SOL-330225","0","0","0"
"HCM003 - KW22TNGP","","1","SOL-944192","0","0","0"
"HP97MHGP","","1","SOL-415784","0","0","0"
"HW67VCGP DATA UPLOAD","EPSC-0001","1","SOL-891458","0","0","0"
"HX05FRVGP","MIXT-0001","1","SOL-294857","0","0","0"
"JFP880FS - RH35","TLOG-0001","1","SOL-365876","0","0","0"
"JGK731FS - LH41","TTLI-0001","1","SOL-527893","0","0","0"
"JGV565FS - PD117","TLOG-0001","1","SOL-333168","0","0","0"
"JJ04NRGP","","1","SOL-679174","0","0","0"
"JJT993FS - PLS241","TTLI-0001","1","SOL-300309","0","0","0"
"JP33GVGP","ALST-0001","1","SOL-730788","0","0","0"
"JS42MNGP","EDGE-0015","1","SOL-869000","0","0","0"
"JW62RGGP AS48","","1","SOL-652782","0","0","0"
"JX75VDGP","ALST-0001","1","SOL-632738","0","0","0"
"JY60PZGP","ALST-0001","1","SOL-527276","0","0","0"
"JZ78PGGP","ALST-0001","1","SOL-202925","0","0","0"
"JZ88CYGP","ALST-0001","1","SOL-704027","0","0","0"
"KB27GLGP","ALST-0001","1","SOL-156772","0","0","0"
"KB45JMGP","","1","SOL-587296","0","0","0"
"KC31RGGP - CAN AND BUZZER INSTALL","WACA-0001","1","SOL-617357","0","0","0"
"KL14KGGP","","1","SOL-392650","0","0","0"
"KM89YXGP","ALST-0001","1","SOL-315408","0","0","0"
"KR53NXGP","AVVA-0001","1","SOL-417957","0","0","0"
"KVR581MP - CB02","PRCR-0001","1","SOL-152976","0","0","0"
"KVR582MP - CB03","PRCR-0001","1","SOL-114900","0","0","0"
"KVR593MP - CB07","PRCR-0001","1","SOL-847507","0","0","0"
"KVR594MP - CB08","PRCR-0001","1","SOL-668144","0","0","0"
"KVR598MP - CB10","PRCR-0001","1","SOL-290962","0","0","0"
"KW06LZGP","AVIS-0001","1","SOL-809108","0","0","0"
"KW56VJGP","AVVA-0001","1","SOL-588580","0","0","0"
"KX82RJGP","AVVA-0001","1","SOL-276056","0","0","0"
"KXH512MP - CB26","PRCR-0001","1","SOL-294155","0","0","0"
"KY33FDGP","AVVA-0001","1","SOL-940716","0","0","0"
"KY73FKGP","AVVA-0001","1","SOL-746549","0","0","0"
"KY94JSGP","SGMO-0008","1","SOL-563366","0","0","0"
"KZ35BJGP","AVIS-0001","1","SOL-827447","0","0","0"
"LC37LYGP","AVIS-0001","2","SOL-171851; SOL-741400","0","0","0"
"LC75YXGP","AVVA-0001","1","SOL-702585","0","0","0"
"LC76BFGP","AVVA-0001","1","SOL-903185","0","0","0"
