"job_number","account","reg","item_name","item_description","quantity","rental_price","subscription_price","rental_total","subscription_total","recurring_total"
"SOL-530578","EPSC-0002","DATA UPLOAD - JF74YXGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-575752","EPSC-0002","data upload - JF74YXGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-655602","MAYS-0001","data upload - MAY003","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-655602","MAYS-0001","data upload - MAY003","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-655602","MAYS-0001","data upload - MAY003","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-563195","HITA-0001","National Transport Logistics	1000-0302","720652S - PFK - 720 DISP BLOW TUBE PACK OF 25","","3","0","0","0","0","0"
"SOL-642708","EPSC-0001","DATA UPLOAD - MK88RHGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-891458","EPSC-0001","HW67VCGP DATA UPLOAD","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-280898","EPSC-0001","DATA UPLOAD - HW67VCGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-202925","ALST-0001","JZ78PGGP","Beame Backup Unit","Wireless recovery unit only","1","0","0","0","0","0"
"SOL-781197","EPSC-0001","DATA UPLOAD - KY69YNGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-759415","EPSC-0002","DATA UPLOAD - MK88RHGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX-MC904 EU","MDVR MINI","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","SIM CARD (CAMERA) CORPCONNECT","SUPPLIER: VODACOM | CODE: SIM 1GB PM","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX-SD CARD / SD CARD 512GB","SD Card 512GB","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX-MC833 / DRIVER FACING CAM NO AI","Driver Facing Camera No AI","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX - 832 - ROAD FACING CAM 1080P","Road Facing Camera 1080P","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX-MC808K","OUTSIDE SIDE VIEW CAM","2","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX-804I-REAR VIEW IPC CAMERA","Rear View IPC Camera","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX - CABLE - 5M","5 Meter Cable","2","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX-CABLE 10M","10 METER EXT CABLE","2","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","MTX-10M IPC 6 PIN","10M IP CAMERA CABLE 6 PINS","1","0","0","0","0","0"
"SOL-559160","HITA-0001","MS80SKGP","Labour","","1","0","0","0","0","0"
"SOL-164333","","YMM494GP","BREATHALOK","","1","0","0","432","0","432"
"SOL-156583","MAYS-0001","MAY009","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-709720","ANGE-0001","FN85FKGP","BREATHALOK","","1","0","0","0","0","0"
"SOL-512085","MAYS-0001","MAY007","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-830555","EPSC-0002","DATA UPLOAD - HY74XFGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-440825","ANGE-0001","LT00JNGP","BREATHALOK","","1","0","0","0","0","0"
"SOL-373947","ANGE-0001","FN85FKGP","Labour","","1","0","0","0","0","0"
"SOL-632738","ALST-0001","JX75VDGP","Beame Backup Unit","Wireless recovery unit only","1","0","0","0","0","0"
"SOL-527276","ALST-0001","JY60PZGP","Beame Backup Unit","Wireless recovery unit only","1","0","0","0","0","0"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","MIX-4000","MIX-4000","1","324","540","324","540","864"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","440FT0073","FM Blue Driver Tag","1","0","0","0","0","0"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","440FT0599","FM GSM ANTENNA (PENTA-BAND GSM ANT)","1","0","0","0","0","0"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","440FT0694-1","FM GPS ANTENNA (FM GLONASS GPS ANT)","1","0","0","0","0","0"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","FM CODE PLUG HARNESS","FM CODE PLUG HARNESS","1","0","0","0","0","0"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","FM MAIN HARNESS MP5","FM MAIN HARNESS MP5","1","0","0","0","0","0"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","FM-SIM","FM Sim Card","1","0","0","0","0","0"
"SOL-998233","SEVE-0001","F44 - MX65HCGP","Beame Backup Unit","Wireless recovery unit only","1","0","89","0","89","89"
"SOL-506862","EPSC-0002","DATA UPLOAD  - JF74XHGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-995120","MAYS-0001","DATA UPLOAD - MAY002","Additional Data","Additional Data","1","0","0","0","0","0"
"JOB-1754928396962-95tzjqikr","","AB56CDGP","2.5"" SSD 480GB","480GB SD Memory Card","1","132","0","132","0","132"
"SOL-304758","EPSC-0001","DATA UPLOAD - HW67VCGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-635581","EPSC-0001","DATA UPLOAD - JF74XHGP","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-244000","MAYS-0001","DATA UPLOAD - MAY509","Additional Data","Additional Data","1","0","0","0","0","0"
"SOL-257467","HITA-0001","Nelspruit Service	2006-0222","720652S - PFK - 720 DISP BLOW TUBE PACK OF 25","","2","0","0","0","0","0"
"SOL-730788","ALST-0001","JP33GVGP","Beame Backup Unit","Wireless recovery unit only","1","0","0","0","0","0"
"SOL-311550","MACS-0029","DRIVER TAG 7988","Driver ID Dallas Tag","Tag for Driver ID works with Skylink Pro only","1","0","0","0","0","0"
"SOL-156772","ALST-0001","KB27GLGP","Beame Backup Unit","Wireless recovery unit only","1","0","0","0","0","0"
